[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=False, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary False
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 88 | train_loss 0.7112 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:05 | ETA 0:52:00
[INFO] er_baseline.py:202 > Train | Sample # 90 | train_loss 0.8770 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:05 | ETA 0:51:31
[INFO] er_baseline.py:202 > Train | Sample # 92 | train_loss 0.7100 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:05 | ETA 0:51:25
[INFO] er_baseline.py:202 > Train | Sample # 94 | train_loss 0.9108 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:05 | ETA 0:52:12
[INFO] er_baseline.py:202 > Train | Sample # 96 | train_loss 0.8508 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:05 | ETA 0:51:42
[INFO] er_baseline.py:202 > Train | Sample # 98 | train_loss 1.1372 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:06 | ETA 0:51:33
[INFO] er_baseline.py:202 > Train | Sample # 100 | train_loss 0.8931 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:06 | ETA 0:51:04
[INFO] er_baseline.py:212 > Test | Sample # 100 | test_loss 2.3531 | test_acc 0.2078 | 
[INFO] er_baseline.py:202 > Train | Sample # 102 | train_loss 1.1198 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:09 | ETA 1:15:50
[INFO] er_baseline.py:202 > Train | Sample # 104 | train_loss 0.8642 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:09 | ETA 1:15:32
[INFO] er_baseline.py:202 > Train | Sample # 106 | train_loss 0.8601 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:09 | ETA 1:15:14
[INFO] er_baseline.py:202 > Train | Sample # 108 | train_loss 0.8434 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:09 | ETA 1:15:03
[INFO] er_baseline.py:202 > Train | Sample # 110 | train_loss 0.8430 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:09 | ETA 1:14:41
[INFO] er_baseline.py:202 > Train | Sample # 112 | train_loss 1.0957 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:10 | ETA 1:14:23
[INFO] er_baseline.py:202 > Train | Sample # 114 | train_loss 0.9690 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:10 | ETA 1:14:12
[INFO] er_baseline.py:202 > Train | Sample # 116 | train_loss 1.2157 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:10 | ETA 1:13:53
[INFO] er_baseline.py:202 > Train | Sample # 118 | train_loss 0.7617 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:10 | ETA 1:13:38
[INFO] er_baseline.py:202 > Train | Sample # 120 | train_loss 0.9929 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:10 | ETA 1:13:55
