[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=True, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary True
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 280 | train_loss 0.8592 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:40 | ETA 2:00:15
[INFO] er_baseline.py:202 > Train | Sample # 282 | train_loss 1.1232 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:40 | ETA 1:59:53
[INFO] er_baseline.py:202 > Train | Sample # 284 | train_loss 0.9022 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:41 | ETA 1:59:39
[INFO] er_baseline.py:202 > Train | Sample # 286 | train_loss 0.7149 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:41 | ETA 1:59:28
[INFO] er_baseline.py:202 > Train | Sample # 288 | train_loss 0.9121 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:41 | ETA 1:59:07
[INFO] er_baseline.py:202 > Train | Sample # 290 | train_loss 1.5442 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:41 | ETA 1:58:55
[INFO] er_baseline.py:202 > Train | Sample # 292 | train_loss 0.8829 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:41 | ETA 1:58:43
[INFO] er_baseline.py:202 > Train | Sample # 294 | train_loss 0.9334 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:42 | ETA 1:58:23
[INFO] er_baseline.py:202 > Train | Sample # 296 | train_loss 1.1807 | train_acc 0.4375 | lr 0.000300 | running_time 0:00:42 | ETA 1:58:14
[INFO] er_baseline.py:202 > Train | Sample # 298 | train_loss 0.7697 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:42 | ETA 1:58:04
[INFO] er_baseline.py:202 > Train | Sample # 300 | train_loss 2.5757 | train_acc 0.4062 | lr 0.000300 | running_time 0:00:42 | ETA 1:57:55
[INFO] er_baseline.py:212 > Test | Sample # 300 | test_loss 6.8964 | test_acc 0.1927 | 
[INFO] er_baseline.py:202 > Train | Sample # 302 | train_loss 1.2498 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:45 | ETA 2:04:15
[INFO] er_baseline.py:202 > Train | Sample # 304 | train_loss 1.3036 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:45 | ETA 2:03:59
